artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
"Soso Maness, PLK",Petrouchka (feat. PLK),3.16555,RCA Group,Major,4,6.0,0.624,0.802,0.311,0.0597,0.0,0.252,0.818,-4.818,133.888,1
Billie Eilish,Your Power,4.098283333333334,Darkroom/Interscope Records,Minor,4,9.0,0.632,0.284,0.0801,0.932,0.000476,0.233,0.208,-14.025,129.642,0
"DVBBS, CMC$, Gia Koka",Not Going Home (feat. Gia Koka),3.2717833333333335,"Ultra Records, LLC",Major,4,6.0,0.713,0.733,0.152,0.0933,2.23e-05,0.237,0.502,-6.431,108.992,0
The xx,I Dare You,3.888,Young,Major,4,1.0,0.752,0.543,0.0398,0.623,0.0706,0.107,0.282,-9.483,126.001,0
Taylor Swift,Out Of The Woods (Taylor's Version),3.93,Taylor Swift,Major,4,0.0,0.547,0.885,0.0418,0.000512,9.37e-05,0.39,0.192,-5.961,91.992,0
Miley Cyrus,River,2.7162166666666665,Columbia,Major,4,9.0,0.613,0.803,0.0367,0.000525,0.000333,0.189,0.461,-5.171,127.989,1
"Hearts & Colors, Andrelli",Lighthouse - Andrelli Remix,3.6407833333333333,Firefly Entertainment,Minor,4,11.0,0.595,0.662,0.0362,0.0178,0.0,0.0804,0.417,-6.858,96.053,0
"¥$, Kanye West, Ty Dolla $ign",BURN,1.8576333333333332,Ye,Minor,4,11.0,0.6,0.885,0.393,0.0157,6.02e-06,0.856,0.736,-6.21,105.003,0
"Martin Garrix, Bebe Rexha",In the Name of Love,3.264,Epic Amsterdam,Minor,4,4.0,0.49,0.485,0.0406,0.0592,0.0,0.337,0.196,-6.237,133.889,1
"French Montana, Drake",No Stylist (feat. Drake),3.2028666666666665,Epic,Minor,4,5.0,0.765,0.704,0.127,0.0215,0.0,0.227,0.498,-4.589,147.055,1
Taylor Swift,Enchanted,5.87,"Big Machine Records, LLC",Major,4,8.0,0.535,0.618,0.0273,0.0716,0.000388,0.169,0.228,-3.913,81.975,0
Travis Scott,GOD'S COUNTRY,2.1332,Cactus Jack/Epic,Major,4,2.0,0.624,0.65,0.0358,0.0229,1.21e-05,0.145,0.138,-5.819,150.048,1
Bebe Rexha,I'm a Mess,3.25865,Warner Records,Minor,4,11.0,0.63,0.694,0.0253,0.00281,0.0,0.0719,0.216,-6.257,97.005,0
Piso 21,Puntos Suspensivos,3.1052666666666666,WM Mexico,Minor,4,11.0,0.823,0.731,0.103,0.175,0.0,0.131,0.952,-3.399,152.024,1
TINI,Cupido,2.9061666666666666,5020 Records,Major,4,9.0,0.913,0.584,0.223,0.521,5.36e-05,0.307,0.627,-5.263,119.873,0
